From,To,Item,Amount,Line_ID,Transaction_ID
Player,Grid,00|Testonium|Bar|0,5,134,102
Player,Grid,01|Testonium|Bar|0,5,135,103
Player,Grid,10|Testonium|Bar|0,5,136,104
Player,Grid,11|Testonium|Bar|0,5,137,105
Grid,Player,Testonium|Melted|3,5,138,106
Grid,Player,Testonium|Melted|3,5,139,107
Grid,Player,Testonium|Melted|3,5,140,108
Grid,Player,Testonium|Melted|3,5,141,109
Player,Buyer,Testonium|Melted|3|-1,20,142,110
Player,Buyer,Capital,160,143,110
Seller,Player,Testulator|Melt|3|25,1,144,111
Seller,Player,Capital,300,145,111
Player,Grid,02|Testulator|Melt|3|25,1,146,112
Seller,Player,Testonium|Bar|0|-1,31,147,113
Seller,Player,Capital,155,148,113
Player,Grid,02|Testonium|Bar|0,25,149,114
Player,Grid,00|Testonium|Bar|0,5,150,115
Player,Grid,01|Testonium|Bar|0,1,151,116
Grid,Player,Testonium|Melted|3,5,152,117
Grid,Player,Testonium|Melted|3,1,153,118
Grid,Player,Testonium|Melted|3,25,154,119
Player,Buyer,Testonium|Melted|3|-1,31,155,120
Player,Buyer,Capital,248,156,120
Seller,Player,Testonium|Bar|0|-1,49,157,121
Seller,Player,Capital,245,158,121
Player,Grid,02|Testonium|Bar|0,25,159,122
Player,Grid,00|Testonium|Bar|0,5,160,123
Player,Grid,01|Testonium|Bar|0,5,161,124
Player,Grid,10|Testonium|Bar|0,5,162,125
Player,Grid,11|Testonium|Bar|0,5,163,126
Grid,Player,Testonium|Melted|3,5,164,127
Grid,Player,Testonium|Melted|3,5,165,128
Grid,Player,Testonium|Melted|3,5,166,129
Grid,Player,Testonium|Melted|3,5,167,130
Grid,Player,Testonium|Melted|3,25,168,131
Player,Buyer,Testonium|Melted|3|-1,45,169,132
Player,Buyer,Capital,360,170,132
Seller,Player,Testonium|Bar|0|-1,41,171,133
Seller,Player,Capital,205,172,133
Player,Grid,02|Testonium|Bar|0,25,173,134
Player,Grid,00|Testonium|Bar|0,5,174,135
Player,Grid,01|Testonium|Bar|0,5,175,136
Player,Grid,10|Testonium|Bar|0,5,176,137
Player,Grid,11|Testonium|Bar|0,5,177,138
Seller,Player,Testulator|Melt|3|5,2,178,139
Seller,Player,Capital,120,179,139
Player,Grid,20|Testulator|Melt|3|5,1,180,140
Player,Grid,30|Testulator|Melt|3|5,1,181,141
Seller,Player,Testonium|Bar|0|-1,7,182,142
Seller,Player,Capital,35,183,142
Player,Grid,20|Testonium|Bar|0,5,184,143
Player,Grid,30|Testonium|Bar|0,2,185,144
Grid,Player,Testonium|Melted|3,5,186,145
Grid,Player,Testonium|Melted|3,5,187,146
Grid,Player,Testonium|Melted|3,5,188,147
Grid,Player,Testonium|Melted|3,5,189,148
Grid,Player,Testonium|Melted|3,25,190,149
Grid,Player,Testonium|Melted|3,5,191,150
Grid,Player,Testonium|Melted|3,2,192,151
Player,Buyer,Testonium|Melted|3|-1,52,193,152
Player,Buyer,Capital,416,194,152
Seller,Player,Testonium|Bar|0|-1,55,195,153
Seller,Player,Capital,275,196,153
Player,Grid,02|Testonium|Bar|0,25,197,154
Player,Grid,00|Testonium|Bar|0,5,198,155
Player,Grid,01|Testonium|Bar|0,5,199,156
Player,Grid,10|Testonium|Bar|0,5,200,157
Player,Grid,11|Testonium|Bar|0,5,201,158
Player,Grid,20|Testonium|Bar|0,5,202,159
Player,Grid,30|Testonium|Bar|0,5,203,160
Seller,Player,Testulator|Melt|3|5,2,204,161
Seller,Player,Capital,120,205,161
Seller,Player,Testonium|Bar|0|-1,5,206,162
Seller,Player,Capital,25,207,162
Player,Grid,21|Testulator|Melt|3|5,1,208,163
Player,Grid,31|Testulator|Melt|3|5,1,209,164
Player,Grid,21|Testonium|Bar|0,5,210,165
Grid,Player,Testonium|Melted|3,5,211,166
Grid,Player,Testonium|Melted|3,5,212,167
Grid,Player,Testonium|Melted|3,5,213,168
Grid,Player,Testonium|Melted|3,5,214,169
Grid,Player,Testonium|Melted|3,25,215,170
Grid,Player,Testonium|Melted|3,5,216,171
Grid,Player,Testonium|Melted|3,5,217,172
Grid,Player,Testonium|Melted|3,5,218,173
Player,Buyer,Testonium|Melted|3|-1,60,219,174
Player,Buyer,Capital,480,220,174
Seller,Player,Testonium|Bar|0|-1,65,221,175
Seller,Player,Capital,325,222,175
Player,Grid,02|Testonium|Bar|0,25,223,176
Player,Grid,00|Testonium|Bar|0,5,224,177
Player,Grid,01|Testonium|Bar|0,5,225,178
Player,Grid,10|Testonium|Bar|0,5,226,179
Player,Grid,11|Testonium|Bar|0,5,227,180
Player,Grid,20|Testonium|Bar|0,5,228,181
Player,Grid,30|Testonium|Bar|0,5,229,182
Player,Grid,21|Testonium|Bar|0,5,230,183
Player,Grid,31|Testonium|Bar|0,5,231,184
Grid,Player,Testonium|Melted|3,5,232,185
Grid,Player,Testonium|Melted|3,5,233,186
Grid,Player,Testonium|Melted|3,5,234,187
Grid,Player,Testonium|Melted|3,5,235,188
Grid,Player,Testonium|Melted|3,25,236,189
Grid,Player,Testonium|Melted|3,5,237,190
Grid,Player,Testonium|Melted|3,5,238,191
Grid,Player,Testonium|Melted|3,5,239,192
Grid,Player,Testonium|Melted|3,5,240,193
Player,Buyer,Testonium|Melted|3|-1,65,241,194
Player,Buyer,Capital,520,242,194
Seller,Player,Testonium|Bar|0|-1,65,243,195
Seller,Player,Capital,325,244,195
Player,Grid,02|Testonium|Bar|0,25,245,196
Player,Grid,00|Testonium|Bar|0,5,246,197
Player,Grid,01|Testonium|Bar|0,5,247,198
Player,Grid,10|Testonium|Bar|0,5,248,199
Player,Grid,11|Testonium|Bar|0,5,249,200
Player,Grid,20|Testonium|Bar|0,5,250,201
Player,Grid,30|Testonium|Bar|0,5,251,202
Player,Grid,21|Testonium|Bar|0,5,252,203
Player,Grid,31|Testonium|Bar|0,5,253,204
Seller,Player,Testulator|Melt|3|25,1,254,205
Seller,Player,Capital,300,255,205
Player,Grid,22|Testulator|Melt|3|25,1,256,206
Seller,Player,Testonium|Bar|0|-1,10,257,207
Seller,Player,Capital,50,258,207
Player,Grid,22|Testonium|Bar|0,10,259,208
Grid,Player,Testonium|Melted|3,5,260,209
Grid,Player,Testonium|Melted|3,5,261,210
Grid,Player,Testonium|Melted|3,5,262,211
Grid,Player,Testonium|Melted|3,5,263,212
Grid,Player,Testonium|Melted|3,25,264,213
Grid,Player,Testonium|Melted|3,5,265,214
Grid,Player,Testonium|Melted|3,5,266,215
Grid,Player,Testonium|Melted|3,5,267,216
Grid,Player,Testonium|Melted|3,5,268,217
Grid,Player,Testonium|Melted|3,10,269,218
Player,Buyer,Testonium|Melted|3|-1,75,270,219
Player,Buyer,Capital,600,271,219
Seller,Player,Testonium|Bar|0|-1,90,272,220
Seller,Player,Capital,450,273,220
Player,Grid,22|Testonium|Bar|0,25,274,221
Player,Grid,02|Testonium|Bar|0,25,275,222
Player,Grid,00|Testonium|Bar|0,5,276,223
Player,Grid,01|Testonium|Bar|0,5,277,224
Player,Grid,10|Testonium|Bar|0,5,278,225
Player,Grid,11|Testonium|Bar|0,5,279,226
Player,Grid,20|Testonium|Bar|0,5,280,227
Player,Grid,30|Testonium|Bar|0,5,281,228
Player,Grid,21|Testonium|Bar|0,5,282,229
Player,Grid,31|Testonium|Bar|0,5,283,230
Seller,Player,Testulator|Melt|3|5,2,284,231
Seller,Player,Capital,120,285,231
Player,Grid,40|Testulator|Melt|3|5,1,286,232
Player,Grid,50|Testulator|Melt|3|5,1,287,233
Seller,Player,Testonium|Bar|0|-1,6,288,234
Seller,Player,Capital,30,289,234
Player,Grid,40|Testonium|Bar|0,5,290,235
Player,Grid,50|Testonium|Bar|0,1,291,236
Grid,Player,Testonium|Melted|3,5,292,237
Grid,Player,Testonium|Melted|3,5,293,238
Grid,Player,Testonium|Melted|3,5,294,239
Grid,Player,Testonium|Melted|3,5,295,240
Grid,Player,Testonium|Melted|3,25,296,241
Grid,Player,Testonium|Melted|3,5,297,242
Grid,Player,Testonium|Melted|3,5,298,243
Grid,Player,Testonium|Melted|3,5,299,244
Grid,Player,Testonium|Melted|3,5,300,245
Grid,Player,Testonium|Melted|3,25,301,246
Grid,Player,Testonium|Melted|3,5,302,247
Grid,Player,Testonium|Melted|3,1,303,248
Player,Buyer,Testonium|Melted|3|-1,96,304,249
Player,Buyer,Capital,768,305,249
Seller,Player,Testonium|Bar|0|-1,100,306,250
Seller,Player,Capital,500,307,250
Player,Grid,22|Testonium|Bar|0,25,308,251
Player,Grid,02|Testonium|Bar|0,25,309,252
Player,Grid,00|Testonium|Bar|0,5,310,253
Player,Grid,01|Testonium|Bar|0,5,311,254
Player,Grid,10|Testonium|Bar|0,5,312,255
Player,Grid,11|Testonium|Bar|0,5,313,256
Player,Grid,20|Testonium|Bar|0,5,314,257
Player,Grid,30|Testonium|Bar|0,5,315,258
Player,Grid,21|Testonium|Bar|0,5,316,259
Player,Grid,31|Testonium|Bar|0,5,317,260
Player,Grid,40|Testonium|Bar|0,5,318,261
Player,Grid,50|Testonium|Bar|0,5,319,262
Grid,Player,Testonium|Melted|3,5,320,263
Grid,Player,Testonium|Melted|3,5,321,264
Grid,Player,Testonium|Melted|3,5,322,265
Grid,Player,Testonium|Melted|3,5,323,266
Grid,Player,Testonium|Melted|3,25,324,267
Grid,Player,Testonium|Melted|3,5,325,268
Grid,Player,Testonium|Melted|3,5,326,269
Grid,Player,Testonium|Melted|3,5,327,270
Grid,Player,Testonium|Melted|3,5,328,271
Grid,Player,Testonium|Melted|3,25,329,272
Grid,Player,Testonium|Melted|3,5,330,273
Grid,Player,Testonium|Melted|3,5,331,274
Player,Buyer,Testonium|Melted|3|-1,100,332,275
Player,Buyer,Capital,800,333,275
Seller,Player,Testonium|Bar|0|-1,100,334,276
Seller,Player,Capital,500,335,276
Player,Grid,22|Testonium|Bar|0,25,336,277
Player,Grid,02|Testonium|Bar|0,25,337,278
Player,Grid,00|Testonium|Bar|0,5,338,279
Player,Grid,01|Testonium|Bar|0,5,339,280
Player,Grid,10|Testonium|Bar|0,5,340,281
Player,Grid,11|Testonium|Bar|0,5,341,282
Player,Grid,20|Testonium|Bar|0,5,342,283
Player,Grid,30|Testonium|Bar|0,5,343,284
Player,Grid,21|Testonium|Bar|0,5,344,285
Player,Grid,31|Testonium|Bar|0,5,345,286
Player,Grid,40|Testonium|Bar|0,5,346,287
Player,Grid,50|Testonium|Bar|0,5,347,288
Seller,Player,Testulator|Melt|3|25,1,348,289
Seller,Player,Capital,300,349,289
Player,Grid,41|Testulator|Melt|3|25,1,350,290
Seller,Player,Testonium|Bar|0|-1,25,351,291
Seller,Player,Capital,125,352,291
Player,Grid,41|Testonium|Bar|0,25,353,292
Grid,Player,Testonium|Melted|3,5,354,293
Grid,Player,Testonium|Melted|3,5,355,294
Grid,Player,Testonium|Melted|3,5,356,295
Grid,Player,Testonium|Melted|3,5,357,296
Grid,Player,Testonium|Melted|3,25,358,297
Grid,Player,Testonium|Melted|3,5,359,298
Grid,Player,Testonium|Melted|3,5,360,299
Grid,Player,Testonium|Melted|3,5,361,300
